#Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 10:06:13      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:13      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     0
#Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 10:06:14      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    34     0
 10:06:14      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:16      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4    23
 10:06:16      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:17      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2     0
 10:06:17      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:18      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5     1
 10:06:18      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:19      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     6    22
 10:06:19      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:06:21      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    21
 10:06:21      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:22      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:22      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     2
 10:06:23      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     2
 10:06:23      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:24      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:24      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     3
 10:06:26      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:26      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     0
 10:06:27      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:27      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
 10:06:28      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:28      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:29      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:06:29      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     0
 10:06:30      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:30      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     3
 10:06:32      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:32      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:33      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    18
 10:06:33      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:34      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    38     0
 10:06:34      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:36      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2     2
 10:06:36      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:37      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     4     0
 10:06:37      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 10:06:38      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     4
 10:06:38      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:06:39      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    41     0
 10:06:39      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:41      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:06:41      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
#Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 10:06:42      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     5
 10:06:42      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     2
 10:06:43      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2     3
 10:06:43      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 10:06:44      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:06:44      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     3
 10:06:46      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
 10:06:46      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:47      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    21
 10:06:47      1    13    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:48      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:06:48      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 10:06:49      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:06:49      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:51      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    22
 10:06:51      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:52      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    22
 10:06:52      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:53      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:53      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     0
 10:06:54      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 10:06:54      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     3
 10:06:56      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:06:56      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 10:06:57      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    18
 10:06:57      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:06:58      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    21
 10:06:58      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:06:59      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0    21
 10:06:59      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:01      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2    21
 10:07:01      1    10    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:02      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    18
 10:07:02      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:03      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:07:03      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:07:04      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     5    19
 10:07:04      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
