#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:06:47      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    35     0
 20231204   10:06:47      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204   10:06:49      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    18
 20231204   10:06:49      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:50      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:50      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
 20231204   10:06:51      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 20231204   10:06:51      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     1
 20231204   10:06:52      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:52      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     4
 20231204   10:06:53      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    43     0
 20231204   10:06:53      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:55      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0    21
 20231204   10:06:55      1     9    38     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204   10:06:56      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:56      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:06:57      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 20231204   10:06:57      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 20231204   10:06:58      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:58      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     0
 20231204   10:07:00      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:00      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     2
 20231204   10:07:01      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:01      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:02      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    18
 20231204   10:07:02      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:03      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:07:03      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:05      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     2
 20231204   10:07:05      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:06      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:07:06      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:07      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:07:07      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:08      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:08      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:10      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:07:10      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
 20231204   10:07:11      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:07:11      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     4
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:07:12      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3     3
 20231204   10:07:12      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:07:13      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1     1
 20231204   10:07:13      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     8     0
